"","logFC","logCPM","LR","PValue","FDR"
"lp_3658",-8.2434904816912,12.2565065422683,1187.59044613408,3.03565930184358e-260,4.65366570972621e-257
"lp_3659",-7.96245466038375,11.0800018804267,1036.54634764127,2.04431687409165e-227,1.56696888399125e-224
"lp_2702",-7.02534517948982,11.5376349761481,977.201198499835,1.62166320027731e-214,8.28669895341704e-212
"lp_3660",-8.09638918746682,11.4958674174587,932.979647749747,6.64635221524109e-205,2.54721448649115e-202
"lp_2699",-6.759657379852,11.3515328726288,884.325019642771,2.50845470406957e-194,7.69092212267732e-192
"lp_2151",-6.0533416633201,11.2294192890734,863.870291512218,7.01720502346761e-190,1.79289588349597e-187
"lp_2703",-6.82962856797714,10.7464169948848,849.414538365586,9.74646203653769e-187,2.13447518600175e-184
"lp_2153",-6.06946264855386,10.6223320868348,847.180095179702,2.98277710627274e-186,5.71574662989515e-184
"lp_2154",-5.83673755870703,10.3733102832557,790.530862755522,6.17784870252126e-174,1.05229356232946e-171
"lp_2698",-6.78924166728565,11.5955863404493,788.013001169493,2.17908887603888e-173,3.3405432469676e-171
